單字,翻譯
agreement,(n.)同意
agricultural,(adj.)農業的
agriculture,(n.)農業
ahead,(adv.)在前、向前、預先、事前
aid,(n.)幫助、助手、助聽器
aid,(v.)有助於
aim,(n.)目標、目的
aim,(v.)瞄準、對準
air,(n.)空氣
aircraft,(n.)航空器、飛機
airline,(n.)航空公司
airmail,(n.)航空郵件
airplane,(n.)飛機
airport,(n.)飛機場
airtight,(adj.)密閉的、無懈可擊的
airway,(n.)風道、氣道、航空公司
aisle,(n.)通道、走道
alarm,(n.)警鈴、警報、驚慌
alarm,(v.)向...報警、使驚慌不安
album,(n.)相簿、集郵簿、唱片集
alcohol,(n.)酒精、酒
alcoholic,(adj.)含酒精的、酗酒的
alcoholic,(n.)酒鬼
alert,(n.)警戒、警報、警戒狀態
alert,(v.)向...報警、使警覺
alert,(adj.)警惕的、機敏的
algebra,(n.)代數
alien,(n.)外國人、外星人
alien,(adj.)外國的、外國人的
alienate,(v.)使疏遠、離間
alike,(adj.)相似的
alike,(adv.)一樣地、相似地
alive,(adj.)活著的、活躍的
all,(n.)全體、一切、全部財產
all,(adj.)所有的、全部
all,(adv.)完全地、(比分等)雙方相等
allergic,(adj.)過敏的
allergy,(n.)過敏症
alley,(n.)小巷、後街
alliance,(n.)結盟、聯盟
alligator,(n.)短吻鱷
allocate,(v.)分派、分配
allow,(v.)允許
allowance,(n.)津貼、零用錢
ally,(v.)使結盟、使聯姻
ally,(n.)同盟國、同盟者
almond,(n.)杏仁
almost,(adv.)幾乎
alone,(adj.)單獨的、孤單的
alone,(adv.)單獨地、獨自地
along,(adv.)向前、一起、帶著、來到、去到
along,(prep.)沿著
alongside,(prep.)在...旁邊、沿著...的邊
alongside,(adv.)在旁邊、沿著
aloud,(adv.)大聲地
alphabet,(n.)字母
already,(adv.)已經
also,(adv.)也
alter,(v.)改變、修改
alternate,(n.)代替者、候補者
alternate,(adj.)輪流的
alternate,(v.)輪流
alternative,(n.)選擇的自由(或餘地)
alternative,(adj.)兩者(或若干)中擇一的
although,(conj.)雖然
altitude,(n.)高度、海拔
altogether,(adv.)完全地、總共
aluminum,(n.)鋁
always,(adv.)總是
am,(v.)是、在、 be 動詞第一人稱、單數、現在式
amateur,(adj.)業餘的、外行的
amateur,(n.)業餘從事者、外行
amaze,(v.)使大為驚奇
amazement,(n.)驚奇、詫異
ambassador,(n.)大使
ambiguity,(n.)意義不明確、模稜兩可的話
ambiguous,(adj.)含糊不清的
ambition,(n.)野心
ambitious,(adj.)有野心的
ambulance,(n.)救護車
ambush,(v.)埋伏下、伏擊
ambush,(n.)埋伏、伏擊
amiable,(adj.)和藹可親的
amid,(prep.)在...之間、在...之中
amidst,(prep.)在...之中、在...中間
among,(prep.)在...之中
amount,(n.)總數
amount,(v.)合計、共計
ample,(adj.)大量的、充裕的
amplify,(v.)放大(聲音等)、擴大
amuse,(v.)逗...高興
amusement,(n.)樂趣、消遣
analects,(n.)文選、論集
analogy,(n.)相似、類推、類比
analysis,(n.)分析
analyst,(n.)分析師
analytical,(adj.)分析的
analyze,(v.)分析
ancestor,(n.)祖宗、祖先
anchor,(n.)錨、靠山、電視新聞節目主持人
anchor,(v.)拋錨、繫住、主持電視新聞節目
anchorman,(n.)男主播
anchorwoman,(n.)女主播
ancient,(adj.)古代的
and,(conj.)和、及、而、就
anecdote,(n.)軼事、祕史
angel,(n.)天使
anger,(n.)生氣
angle,(n.)角度
angry,(adj.)生氣的
animal,(n.)動物
animate,(adj.)有生命的、活潑的、有活力的
animate,(v.)賦予生命、繪製(卡通影片)
ankle,(n.)腳踝
anniversary,(n.)周年紀念日
announce,(v.)宣佈
announcement,(n.)宣佈
annoy,(v.)惹惱、使生氣、使煩惱
annoyance,(n.)惱怒、打擾、討厭的東西(或人)
annual,(adj.)一年一次的、每年的
anonymous,(adj.)匿名的
another,(adj.)另一個
answer,(v.)回答
answer,(n.)答案
ant,(n.)螞蟻
antarctic,(adj.)南極的、南極區的
antenna,(n.)觸角、觸鬚、天線
anthem,(n.)國歌、頌歌
antibiotic,(n.)抗生素、抗菌素
antibiotic,(adj.)抗生的、抗菌的
antibody,(n.)抗體
anticipate,(v.)預期、預先考慮到
anticipation,(n.)預期
antique,(adj.)年代久遠的、古董的
antique,(n.)古物、古董、古風
antonym,(n.)反義字
anxiety,(n.)焦慮、掛念
anxious,(adj.)焦慮的、掛念的
any,(adv.)(用於疑問句、否定句、if子句中)少許、稍微
any,(adj.)任何的
anyhow,(adv.)無論如何、總之
anyplace,(adv.)任何地方(=anywhere)
anytime,(adv.)在任何時候
anyway,(adv.)不管怎樣
anywhere,(adv.)任何地方
apart,(adv.)分開地、相間隔地
apartment,(n.)公寓
ape,(n.)大猩猩
ape,(v.)模仿
apologize,(v.)道歉
apology,(n.)道歉
apparent,(adj.)明顯的、顯而易見的
appeal,(n.)呼籲、懇求
appeal,(v.)呼籲、懇求
appear,(v.)出現
appearance,(n.)出現、顯露、外貌
appetite,(n.)胃口、食慾
applaud,(v.)向...鼓掌、稱讚
applause,(n.)鼓掌歡迎、喝采
apple,(n.)蘋果
appliance,(n.)用具、裝置、設備
applicable,(adj.)合用的、可實施的
applicant,(n.)申請人
application,(n.)申請
apply,(v.)塗、敷、應用
appoint,(v.)任命、指派
appointment,(n.)(尤指正式的)約會、約定
appreciate,(v.)感謝、賞識
appreciation,(n.)欣賞、鑑賞、賞識
apprentice,(v.)當學徒
apprentice,(n.)學徒、生手
approach,(v.)接近、靠近
approach,(n.)靠近、方法、門徑
appropriate,(adj.)適當的、恰當的
approval,(n.)批准、認可
approve,(v.)同意、贊許
approximate,(v.)接近、近似、大致估計
approximate,(adj.)近似的、大概的
apron,(n.)圍裙、工作裙
apt,(adj.)易於...的、恰當的、聰明的
aptitude,(n.)傾向、習性、天資
aquarium,(n.)養魚缸、水族館
arch,(v.)使成弧形、拱起
arch,(n.)拱門、拱形
architect,(n.)建築師
architecture,(n.)建築學
arctic,(adj.)北極的、北極區的
are,(v.)是、在、 be 動詞第一、第三人稱、 複數、 現在式、 第二次人單、複數、 現在式
area,(n.)地區、面積
arena,(n.)體育場、競技場
argue,(v.)爭論
argument,(n.)爭論
arise,(v.)升起
arithmetic,(n.)算術、計算
arithmetic,(adj.)算術的
arm,(n.)手臂
arm,(v.)用武器裝備、提供、配備、 武裝起來
armchair,(n.)扶手椅子
armor,(n.)盔甲、裝甲、(動、植物)保護層
armor,(v.)穿盔甲(或加裝甲)、提供防禦
arms,(n.)武器、戰爭、戰鬥、兵役
army,(n.)軍隊、大群
around,(adv.)到處、四處、周圍、附近、環繞、大約
around,(prep.)差不多、環繞
arouse,(v.)喚起、激動、叫醒
arrange,(v.)排列、整理
arrangement,(n.)安排、準備工作
arrest,(v.)逮捕、拘留
arrest,(n.)逮捕、遏止
arrival,(n.)到達
arrive,(v.)到達
arrogant,(adj.)傲慢的、自大的
arrow,(n.)箭、箭號
art,(n.)藝術
artery,(n.)動脈、要道
article,(n.)文章、條款
articulate,(adj.)發音清晰的、口才好的
articulate,(v.)清晰地講話、相互連貫
artifact,(n.)人工製品、手工藝品
artificial,(adj.)人工的
artist,(n.)藝術家
artistic,(adj.)藝術的
as,(adv.)跟...一樣地、同樣地、如同、例如
as,(conj.)依照、當...時
as,(prep.)以…的身份、作為
ascend,(v.)登高、上升、
ash,(n.)灰
ashamed,(adj.)羞愧的
aside,(adv.)在旁邊、到(或向)旁邊
ask,(v.)問
asleep,(adj.)睡著的
aspect,(n.)方面、觀點
aspirin,(n.)阿斯匹靈(解熱鎮痛藥)
ass,(n.)驢子、笨蛋、太自負的人
assassinate,(v.)暗殺、詆毀
assault,(v.)攻擊、抨擊、施暴
assault,(n.)暴行、攻擊、抨擊、施暴
assemble,(v.)集合、召集
assembly,(n.)集會、集合
assert,(v.)斷言、堅持
assess,(v.)估價、評價
assessment,(n.)估價、評價
asset,(n.)財產、資產
assign,(v.)分配、分派
assignment,(n.)(分派的)任務、工作、(課外)作業
assist,(v.)幫助、協助
assistance,(n.)幫助、協助
assistant,(n.)助手
associate,(adj.)夥伴的、共事的、副的、聯合的
associate,(n.)夥伴、同事
associate,(v.)聯想、把...聯想在一起
association,(n.)協會、公會、社團
assume,(v.)假定
assumption,(n.)假設、擔任
assurance,(n.)保證
assure,(v.)向...保證、擔保
asthma,(n.)氣喘(病)、哮喘
astonish,(v.)使吃驚、使驚訝
astonishment,(n.)驚訝、驚愕
astray,(adj.)迷路的、離開正道的
astray,(adv.)迷路、離開正道
astronaut,(n.)太空人、宇航員
astronomer,(n.)天文學家
astronomy,(n.)天文學
asylum,(n.)收容院、避難所、政治庇護
at,(prep.)在
athlete,(n.)運動員、體育家
athletic,(adj.)運動的、體育的、行動敏捷的
atmosphere,(n.)大氣、氣氛
atom,(n.)原子
atomic,(adj.)原子的
attach,(v.)裝上、貼上、使附屬
attachment,(n.)連接、安裝、附著、附屬物、附件、扣押、扣押令
attack,(v.)進攻、襲擊
attack,(n.)攻擊
attain,(v.)達到、獲得
attainment,(n.)達到、獲得、到達、成就、學識、才能
attempt,(n.)企圖、嘗試
attempt,(v.)試圖、企圖
attend,(v.)出席、參加、照料、伴隨
attendance,(n.)出席、出席人數、侍候
attendant,(adj.)出席的、伴隨的、侍候的
attendant,(n.)出席者、陪從、服務員
attention,(n.)注意、專心
attic,(n.)頂樓、閣樓
attitude,(n.)態度
attract,(v.)吸引
attraction,(n.)吸引、吸引力
attractive,(adj.)有吸引力的、引人注目的
auction,(n.)拍賣
auction,(v.)拍賣
audience,(n.)聽眾
audio,(adj.)聽覺的、聲音的
auditorium,(n.)會堂、禮堂
aunt,(n.)姨媽、姑媽
auntie,(n.)(aunt 的暱稱)伯母、嬸母、姑母、姨母、舅母
aunty,(n.)(aunt 的暱稱)伯母、嬸母、姑母、姨母、舅母
authentic,(adj.)可信的、真實的
author,(n.)作者、作家
author,(v.)開創、發起、著作、編寫
authority,(n.)職權、官方
authorize,(v.)授權給、批准
auto,(n.)汽車
autobiography,(n.)自傳
autograph,(v.)親筆簽名於
autograph,(n.)(尤指名人的)親筆簽名
automatic,(adj.)自動的、習慣性的
automobile,(n.)汽車
autonomy,(n.)自治、自治權、自治團體
autumn,(n.)秋季
auxiliary,(n.)輔助者、助動詞
available,(adj.)可用的、可得到的、有效的
avenue,(n.)大街、大道
average,(v.)算出...的平均數、使平衡、 平均為
average,(adj.)平均的
average,(n.)平均、平均數
aviation,(n.)航空、飛行
avoid,(v.)避免
await,(v.)等候、期待
awake,(adj.)醒著的
awake,(v.)喚醒
awaken,(v.)醒、覺醒、喚起
award,(v.)授予
award,(n.)獎、獎品
aware,(adj.)知道的、察覺的
away,(adv.)離開
awe,(v.)使敬畏、使畏怯
awe,(n.)敬畏、畏怯
awesome,(adj.)令人敬畏的、非凡的
awful,(adj.)可怕的
awhile,(adv.)片刻
awkward,(adj.)笨拙的、尷尬的
ax,(v.)用斧劈、解雇
ax,(n.)斧
axe,(v.)ax
axe,(n.)ax
baby,(n.)嬰兒
baby-sit,(v.)當臨時保姆
baby-sitter,(n.)保姆
bachelor,(n.)單身漢
back,(adv.)回原處
back,(v.)向後、追溯、回覆、贊助
back,(adj.)後面的、拖欠的、過去的
back,(n.)背部、後面
backbone,(n.)脊柱、支柱、骨幹
background,(n.)背景
backpack,(v.)把...放入背包、 背負簡便行李旅行
backpack,(n.)背包
backward,(adj.)向後的、落後的
backward,(adv.)向後地、落後地
backwards,(adv.)向後、倒、逆、往回、向原處
bacon,(n.)燻豬肉
bacteria,(n.)細菌
bad,(adj.)壞的
badge,(n.)徽章、證章
badly,(adv.)壞、拙劣地
badminton,(n.)羽毛球
bag,(n.)袋子
baggage,(n.)行李
bait,(n.)餌
bait,(v.)置餌於
bake,(v.)烘、烤
bakery,(n.)麵包店
balance,(v.)使平衡
balance,(n.)平衡
balcony,(n.)陽臺
bald,(adj.)禿頭的
ball,(v.)使成球形、 呈球狀
ball,(n.)球
ballet,(n.)芭蕾舞
balloon,(n.)汽球
balloon,(v.)像氣球般鼓起(或膨脹)、乘氣球上升、激增
ballot,(v.)投票、投票表決
ballot,(n.)選票、候選人名單
bamboo,(n.)竹子
ban,(n.)禁止、禁令
ban,(v.)禁止、取締
banana,(n.)香蕉
band,(n.)樂團、樂隊
bandage,(n.)繃帶
bandage,(v.)用繃帶包紮
bandit,(n.)強盜、土匪
bang,(v.)發出砰的一聲、砰地敲
bang,(adv.)砰地、驀地、突然、恰好、正好
bang,(n.)猛擊、猛撞
bank,(v.)存(款)於銀行、築堤防護、堆積
bank,(n.)銀行、堤、岸
banker,(n.)銀行家、莊家
bankrupt,(n.)破產者、赤貧者
bankrupt,(v.)使破產、使赤貧
bankrupt,(adj.)破產的、已完全失敗的
banner,(n.)旗幟、橫幅、大標題
banquet,(n.)盛宴
banquet,(v.)宴請
bar,(n.)棒、條、酒吧
bar,(v.)閂住、阻攔、禁止
barbarian,(adj.)野蠻(人)的
barbarian,(n.)野蠻人
barbecue,(n.)烤肉
barbecue,(v.)(在戶外)烤、炙(肉類)
barber,(n.)男理髮師
barbershop,(n.)理髮店
bare,(v.)露出
bare,(adj.)裸的、僅僅的
barefoot,(adj.)赤腳的
barefoot,(adv.)赤著腳地
barely,(adv.)僅僅、勉強
bargain,(v.)討價還價
bargain,(n.)交易、廉價
bark,(n.)吠聲
bark,(v.)狗叫
barn,(n.)穀倉、糧倉
barometer,(n.)晴雨表、顯示變化的事物
barrel,(n.)大桶
barren,(adj.)貧瘠的、荒蕪的、不妊的
barrier,(n.)障礙物、路障
base,(v.)以...為基地
base,(n.)基、底、基部
baseball,(n.)棒球
basement,(n.)地下室
basic,(adj.)基本的
basics,(n.)基礎、基本原理(或原則)
basin,(n.)臉盆、盆地
basis,(n.)基礎
basket,(n.)籃子
basketball,(n.)籃球
bass,(adj.)低沈的、男低音的
bass,(n.)男低音、低音樂器、鱸魚
bat,(v.)揮打、眨(眼)
bat,(n.)球棒、蝙蝠
batch,(n.)一批、一群、一爐、一團
bath,(n.)洗澡
bathe,(v.)洗澡
bathroom,(n.)廁所、浴室
batter,(v.)連續猛擊、搗毀、把...用舊
batter,(n.)打擊手、糊狀物
battery,(n.)電池
battle,(n.)戰鬥、戰役
battle,(v.)與...作戰
bay,(n.)海灣
bazaar,(n.)(中東的)市場、商店街、義賣
be,(v.)是、要、有、在
beach,(v.)將(船等)拖上岸
beach,(n.)海灘
bead,(n.)有孔小珠
bead,(v.)用珠裝飾
beak,(n.)鳥嘴
beam,(n.)橫樑、光束
beam,(v.)以樑支撐、用...照射
bean,(n.)豆莢、豆子
bear,(n.)熊
bear,(v.)承受
beard,(n.)鬍子
beast,(n.)野獸
beat,(v.)擊敗、敲擊
beat,(n.)敲打、敲擊聲、心跳聲、滴答聲、拍子
beautiful,(adj.)漂亮的
beautify,(v.)使更加美麗、美化
beauty,(n.)美貌、美人
because,(conj.)因為
beckon,(v.)(招手或點頭)示意、召喚
become,(v.)變成
bed,(n.)床
bedroom,(n.)臥房
bee,(n.)蜜蜂
beef,(n.)牛肉
beep,(n.)嗶嗶的聲音
beep,(v.)作嗶嗶聲、吹警笛
beer,(n.)啤酒
beetle,(n.)甲蟲
before,(prep.)在…之前
before,(adv.)較早、以前、曾經、在前、向前
before,(conj.)在...以前、與其...寧可、否則、要不然
beforehand,(adv.)事先、提前地
beg,(v.)乞討、懇求
beggar,(n.)乞丐
begin,(v.)開始
beginner,(n.)新手
behalf,(n.)代表
behave,(v.)舉動、守規矩
behavior,(n.)行為
behind,(adv.)在背後、向背後、遲、落後
behind,(prep.)在…後面
being,(n.)存在、生存、生命、本質
belief,(n.)相信、信仰
believable,(adj.)可信的
believe,(v.)相信
bell,(n.)鈴、鐘
belly,(n.)腹部
belong,(v.)屬於
belongings,(n.)財產、攜帶物品
beloved,(n.)心愛的人
beloved,(adj.)心愛的
below,(prep.)在…之下
below,(adv.)在下面、到下面
belt,(n.)腰帶
belt,(v.)用皮帶抽打、環繞、猛擊
bench,(n.)長凳、長椅
bend,(n.)彎、曲、俯
bend,(v.)折彎、轉彎
beneath,(prep.)在...之下
beneficial,(adj.)有益的、有利的
benefit,(v.)對...有益
benefit,(n.)利益、好處
berry,(n.)莓果
beside,(prep.)在...旁側
besides,(adv.)並且
besides,(prep.)除...之外
besiege,(v.)圍攻、圍困、煩擾
best,(adj.)最好的、最熟練的、最適當的
best,(adv.)最好地、最適當地、最、極
best,(n.)最好、最佳、最好
best,(v.)打敗、勝過
bet,(v.)以(錢、物等)打賭
bet,(n.)打賭
betray,(v.)背叛、出賣
better,(adv.)更好地、更適當地
better,(v.)改善、提高、超過、變得較好
better,(adj.)較佳的、更好的、更適當的
better,(n.)(人或事物)較優者、較好者
between,(adv.)在中間、介乎兩者之間
between,(prep.)在…和…之間
beverage,(n.)飲料
beware,(v.)當心、提防
beyond,(prep.)越出、晚於、在...那一邊
beyond,(adv.)在更遠處
bias,(n.)偏見、成見、斜線
bias,(v.)使存偏見
bicycle,(n.)腳踏車
bid,(v.)吩咐、(拍賣中)喊價
bid,(n.)出價
big,(adj.)大的
bike,(n.)腳踏車
bill,(v.)記入帳
bill,(n.)帳單、 鈔票
billion,(n.)(美國)十億
bind,(v.)捆、綁
bingo,(n.)賓果遊戲
binoculars,(n.)雙筒望遠鏡
biochemistry,(n.)生物化學
biography,(n.)傳記
biological,(adj.)生物的、生物學的
biology,(n.)生物學
bird,(n.)鳥
birth,(n.)出生、起源
biscuit,(n.)(美國)小麵包
bit,(n.)小片、、少量、一點點、片刻、位元
bite,(v.)咬
bite,(n.)咬、叮
bitter,(adj.)苦的、嚴酷的
bizarre,(adj.)奇異的、異乎尋常的
black,(adj.)黑色的
black,(n.)黑色、美國黑人
blackboard,(n.)黑板
blacksmith,(n.)鐵匠
blade,(n.)刀片、葉片、葉片狀物
blame,(n.)責備、指責、責任
blame,(v.)歸咎於
blank,(n.)空白
blank,(adj.)空白的、空的、無內容的、茫然的
blanket,(n.)毯子
blanket,(v.)(似)用毯覆蓋、掩蓋
blast,(n.)(一陣)疾風、突然吹奏、爆破
blast,(v.)炸開、吹奏、嚴厲批評
blaze,(n.)火焰、火災、光輝、掃射
blaze,(v.)燃燒、閃耀、炫示
bleach,(v.)漂白、曬得褪色、使脫色
bleach,(n.)漂白、漂白劑
bleak,(adj.)荒涼的、陰冷的、無希望的
bleed,(v.)流血
blend,(n.)混合、混雜、交融、混合物
blend,(v.)使混和
bless,(v.)祝福、保佑
blessing,(n.)祈神賜福、祝福
blind,(adj.)瞎的
blind,(v.)使看不見、使失明、使失去理智
blink,(n.)眨眼睛、一瞬間
blink,(v.)眨眼睛、閃爍
blizzard,(n.)大風雪
block,(n.)街區
block,(v.)阻塞
blond,(n.)白膚金髮碧眼的人
blond,(adj.)白膚金髮碧眼的
blonde,(n.)白膚金髮碧眼的女人
blonde,(adj.)白膚金髮碧眼的
blood,(n.)血
bloody,(adj.)流血的
bloom,(n.)開花
bloom,(v.)開花、興盛
blossom,(v.)開花、發展成
blossom,(n.)花、開花
blot,(n.)墨水漬、污漬、污點
blot,(v.)污損(名譽)、(用吸墨紙)吸乾
blouse,(n.)女裝短上衣
blow,(v.)吹
blow,(n.)吹動、吹氣、強風、吹牛
blue,(adj.)藍色的
blue,(n.)藍色
blues,(n.)藍調、憂鬱
blunder,(v.)犯大錯、出漏子
blunder,(n.)大錯
blunt,(v.)使鈍、使遲鈍、減弱
blunt,(adj.)鈍的、遲鈍的、直率的
blur,(n.)模糊、模糊不清的事物
blur,(v.)使模糊不清、使朦朧
blush,(n.)臉紅
blush,(v.)臉紅
board,(v.)上車、上船
board,(n.)木板、膳食、車上、船上、 董事會
boast,(v.)吹牛、誇耀
boast,(n.)吹牛、大話
boat,(n.)小船
bodily,(adj.)肉體的、身體的、有形的
bodily,(adv.)親身地、以肉體形式、整體地
body,(n.)身體
bodyguard,(n.)保鏢、護衛隊
bog,(v.)陷入泥沼、動彈不得
bog,(n.)沼澤、泥塘
boil,(n.)沸騰、煮沸、翻滾
boil,(v.)(水等)沸騰、開、滾
bold,(adj.)無畏的、大膽的
bolt,(n.)門栓、螺栓、電光、衝撞
bolt,(v.)閂上、用螺栓拴緊、吞吃、衝出
bomb,(n.)炸彈
bomb,(v.)轟炸、投彈、慘敗
bombard,(v.)砲擊、不斷攻擊、連續提出問題
bond,(n.)結合力、束縛
bond,(v.)以...作抵押、使...黏合
bondage,(n.)奴隸身分、奴役、束縛
bone,(n.)骨頭
bonus,(n.)獎金、額外津貼、分紅
bony,(adj.)骨的、似骨的
book,(v.)預訂、預雇、預約、登記
book,(n.)書本
bookcase,(n.)書架
